"State","Percent of patients who reported that their home health team gave care in a professional way","Percent of patients who reported that their home health team communicated well with them","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Number of completed Surveys","Response rate"
"AK","87","84","83","79","74","",""
"AL","91","89","87","88","85","",""
"AR","90","87","86","87","83","",""
"AZ","86","84","80","80","76","",""
"CA","86","83","82","80","74","",""
"CO","88","85","82","83","78","",""
"CT","86","84","82","82","78","",""
"DC","84","77","75","71","61","",""
"DE","87","85","84","82","75","",""
"FL","89","86","82","85","79","",""
"GA","88","86","83","85","81","",""
"GU","73","77","79","62","59","",""
"HI","89","86","82","85","81","",""
"IA","89","87","87","86","81","",""
"ID","89","86","81","84","81","",""
"IL","88","85","84","83","77","",""
"IN","88","85","82","84","78","",""
"KS","89","87","84","86","82","",""
"KY","91","88","84","88","85","",""
"LA","91","89","88","88","85","",""
"MA","88","85","84","84","80","",""
"MD","87","84","82","82","76","",""
"ME","89","88","85","85","85","",""
"MI","88","84","84","83","76","",""
"MN","86","83","83","81","75","",""
"MO","90","87","85","86","81","",""
"MP","82","82","87","74","67","",""
"MS","92","89","89","90","87","",""
"MT","88","85","80","83","79","",""
"NC","90","87","85","86","81","",""
"ND","90","88","89","85","83","",""
"NE","87","86","84","84","79","",""
"NH","88","87","84","85","84","",""
"NJ","87","85","83","83","77","",""
"NM","88","84","82","83","78","",""
"NV","87","82","82","79","76","",""
"NY","84","82","81","78","72","",""
"OH","87","84","82","82","75","",""
"OK","89","87","85","85","80","",""
"OR","87","84","79","80","77","",""
"PA","89","87","84","86","80","",""
"PR","91","84","76","87","82","",""
"RI","88","86","83","84","81","",""
"SC","90","87","85","87","83","",""
"SD","89","86","85","84","81","",""
"TN","90","87","84","86","82","",""
"TX","89","86","85","85","80","",""
"UT","88","83","79","82","79","",""
"VA","88","85","81","83","78","",""
"VI","89","83","72","89","89","",""
"VT","88","85","82","83","84","",""
"WA","87","84","80","80","77","",""
"WI","88","85","83","84","79","",""
"WV","91","89","84","88","85","",""
"WY","88","86","84","85","82","",""
